Question,Answer
What is the tenure for which I can avail the Balance Conversion loan?,"You have the option of various tenures viz. 3 months, 6 months and 12 months."
What is Instant EMI?,"Instant EMI facility by which the Cardholder can convert his/her purchases into Equated Monthly Instalments at the Point of Sale, while purchasing a product at select merchant outlets."
How does Instant EMI benefit me?,This facility allows you to pay in Equated Monthly Instalment (EMI) for your purchase at the Point of Sale only at select merchant outlets.
What is the minimum amount that can be availed under the Instant EMI facility?,"The minimum amount that you may convert into EMI should be greater than ₹2,000."
What is the tenure for which I can avail Instant EMI loan?,"You have the option of various tenures viz. 3 months, 6 months,12 months and 18 months. The tenure options may vary across different merchants, which will be communicated to you at the time of purchase."
What is the processing fee that I will be charged?,"The processing fee, if charged, may vary depending on the merchants. The same will be clearly communicated at the time of the transaction."
What if I close my card account while the Instant EMI is being serviced?,"If the Cardholder closes his card before all applicable EMIs which are posted to the card account, the outstanding amount will be debited to the card account as one consolidated amount. The Cardholder will have to ensure that the outstanding is paid in full to ensure complete closure of the card."
Do I have the option to pre close the Instant EMI facility?,"Yes, the Prepayment charges on foreclosure will apply at the rate of 3% on the outstanding amount of the loan, subject to a minimum of ₹250."
What is the rate of interest that I will be charged for the Instant EMI facility?,"The interest rate chargeable are as follows:
3 months - 12.5% interest
6 months - 12.5% interest
9 months - 13.5% interest
12 months - 13.5% interest
18 months - 13.5% interest
24 months - 15% interest"
Why is there a need for a One-Time Password (OTP)/ Securepay password to complete an online transaction with the HSBC credit card?,The OTP helps to protect against online frauds. It is a secure way to authenticate that the customer making the online transaction is the rightful owner of the card being used. Primary cardholders can enter either the OTP received via SMS or the Securepay password for authentication of the online transaction.
Will every website require the OTP/Securepay password to be entered for authentication?,"No, you will be asked to enter the OTP/Securepay password only if the website supports VISA/MasterCard® credit cards for online transactions and supports the Verified by VISA (VBV) or MasterCard® SecureCode (SC) authentication protocol.
Please note that, two factor authentication is compulsory for online transactions originating from websites/IVR merchants in India. The authentication is done using the Verified by VISA or MasterCard® SecureCode authentication service as explained above. In case you initiate an online transaction from an Indian website/Merchant IVR system without Verified by VISA / MasterCard® SecureCode authentication, the transaction will be declined."
